Код;Символ/Строка
0;\n
1; 
2;%
3;-
4;.
5;0
6;1
7;2
8;3
9;4
10;5
11;6
12;7
13;8
14;9
15;:
16;L
17;W
18;Z
19;А
20;Б
21;В
22;Д
23;Е
24;И
25;К
26;Л
27;М
28;Н
29;О
30;П
31;Р
32;С
33;Т
34;Ф
35;Ц
36;Ч
37;Ы
38;Я
39;а
40;б
41;в
42;г
43;д
44;е
45;ж
46;з
47;и
48;й
49;к
50;л
51;м
52;н
53;о
54;п
55;р
56;с
57;т
58;ф
59;х
60;ц
61;ч
62;щ
63;ы
64;ь
65;э
66;я
67;LZ
68;ZW
69;W 
70; К
71;КО
72;ОД
73;ДИ
74;ИР
75;РО
76;ОВ
77;ВА
78;АН
79;НИ
80;ИЕ
81;Е:
82;:\n
83;\n-
84;--
85;---
86;----
87;-----
88;------
89;-------
90;--------
91;---------
92;----------
93;-----\n
94;\nР
95;Ра
96;аз
97;зм
98;ме
99;ер
100;р 
101; и
102;ис
103;сх
104;хо
105;од
106;дн
107;но
108;ог
109;го
110;о 
111; т
112;те
113;ек
114;кс
115;ст
116;та
117;а:
118;: 
119; 1
120;13
121;30
122;0 
123; с
124;си
125;им
126;мв
127;во
128;ол
129;ло
130;ов
131;в\n
132;\nК
133;Ко
134;оли
135;ич
136;че
137;ес
138;ств
139;во 
140; к
141;ко
142;одо
143;ов 
144; L
145;LZW
146;W:
147;: 1
148;10
149;02
150;2\n
151;\nКо
152;олич
153;чес
154;ство
155;о б
156;би
157;ит
158;т 
159; н
160;на
161;а 
162; ко
163;од:
164;: 7
165;7\n
166;\nО
167;Об
168;бщ
169;щи
170;ий
171;й 
172; р
173;ра
174;азм
175;мер
176;р в
177;в 
178; б
179;бит
180;тах
181;х:
182;: 71
183;14
184;4\n
185;\nКоэ
186;эф
187;фф
188;фи
189;иц
190;ци
191;ие
192;ен
193;нт
194;т с
195;сж
196;жа
197;ат
198;ти
199;ия
200;я:
201;: 6
202;68
203;8.
204;.6
205;65
206;5%
207;%\n
208;\n\n
209;\nЧ
210;ЧИ
211;ИС
212;СЛ
213;ЛО
214;ОВЫ
215;ЫЕ
216;Е 
217; КО
218;ОДЫ
219;Ы:
220;:\n8
221;8 
222; 3
223;3 
224; 19
225;9 
226; 9
227;9 1
228;10 
229; 17
230;7 
231; 9 
232; 16
233;6 
234; 14
235;4 
236; 5
237;5 
238; 3 
239; 13
240;3 1
241;13 
242; 3 2
243;24
244;4 0
245;0 3
246;37
247;7 0
248;0 1
249;10 3
250;3 10
251;0 14
252;4 1
253;12
254;2 
255; 1 
256; 11
257;1 
258; 9 4
259;4 14
260;4 0 
261; 12
262;2 3
263;3 18
264;8 7
265;7 1
266;16
267;6 9
268;9 3
269;3 11
270;1 2
271;23
272;3 13
273;3 4
274;46
275;6 4
276;40
277;0 14 
278; 30
279;0 5
280;56
281;6 1
282;11
283;1 7
284;7 0 
285; 2
286;20
287;0 7
288;7 11
289;1 3
290;33
291;3 7
292;7 7
293;72
294;2 1
295;17
296;7 4
297;43
298;3 3
299;39
300;9 12
301;2 2
302;22
303;2 17
304;7 6
305;61
306;1 2 
307; 0
308;0 5 
309; 0 
310; 14 
311; 4
312;4 2
313;21
314;1 7 
315; 12 
316; 0 1
317;15
318;5 1
319;11 
320; 35
321;5 7
322;70
323;0 17
324;7 5
325;5 2
326;24 
327; 8
328;8 3
329;37 
330; 39
331;9 9
332;9 94
333;4 14 
334; 11 
335; 10
336;03
337;3 106
338;6 8
339;83
340;3 7 
341; 6
342;6 3
343;33 
344; 55
345;5 73
346;3 6
347;62
348;2 6
349;66
350;6 18
351;8 2
352;23 
353; 0 3
354;30 
355; 12 5
356;5 10
357;07
358;7 3
359;33\n
360;\n\nБ
361;БИ
362;ИН
363;НА
364;АР
365;РН
366;НО
367;ОЕ
368;Е П
369;ПР
370;РЕ
371;ЕД
372;ДС
373;СТ
374;ТА
375;АВ
376;ВЛ
377;ЛЕ
378;ЕН
379;НИЕ
380;Е:\n
381;\n0
382;00
383;001
384;100
385;00 
386; 00
387;000
388;0011
389;1 0
390;0010
391;0011 
392; 000
393;01
394;1001
395;1 00
396;00101
397;10 0
398;00100
399;001 
400; 0001
401;1001 
402; 001
403;1000
404;00 0
405;0001
406;111
407;10 00
408;00010
409;01 
410; 0000
411;0011 0
412;00011
413;101
414;1 000
415;011
416;101 
417; 00000
418;011 
419; 0011
420;1000 
421; 000000
422;00 01
423;10010
424;01 0
425;0000
426;0000 
427; 00010
428;010
429;0 0
430;00000
431;011 0
432;000101
433;10 000
434;0111
435;10 0001
436;110
437;00 00
438;000001
439;1 0001
440;1011
441;1 00010
442;001 0
443;00001
444;100 
445; 00011
446;110 
447; 0000000
448;0 00
449;00110
450;00 000
451;00011 
452; 0010
453;0010 
454; 00001
455;111 
456; 00100
457;000 
458; 000100
459;01 00
460;000011
461;1 000101
462;11 0
463;001011
464;11 00
465;001101
466;1 01
467;10111
468;10 01
469;1010
470;000 0
471;000111
472;10 001
473;1111
474;10 011
475;1100
476;00 0001
477;1011 
478; 000011
479;11 000
480;00000 
481; 00101
482;100 0
483;0000111
484;1 0001011
485;1 010
486;00001 
487; 0000111
488;1 1
489;100100
490;00 001
491;10001
492;1 0101
493;1011 0
494;0100
495;0111 
496; 000110
497;00 0010
498;0110
499;0 001
500;10001 
501; 01
502;11110
503;01 000
504;00010 
505; 0000000 
506; 000010
507;01 0000
508;0000 0
509;0001110
510;0 000
511;00100 
512; 001010
513;01 00001
514;111 0
515;000110
516;00 0000
517;0000 00
518;00111
519;11 0001
520;1011 01
521;100011
522;1 10
523;000110 
524; 001000
525;01 000010
526;01 001
527;11000
528;0 0001
529;1000 0
530;01001
531;101 0
532;010011
533;11 00010
534;001 1
535;101111
536;10 00011
537;110 0
538;0001011
539;1 11
540;10011
541;11 1
542;1101
543;1010 
544; 101
545;10011 
546; 0000111 
547; 0000110
548;0 01
549;10000
550;01 01
551;11011
552;11 10
553;001001
554;1 011
555;11110 
556; 100
557;00010 0
558;0010010
559;0 0010
560;0111 0
561;000000
562;00 0011
563;1110
564;0 00011
565;100 00
566;000101 
567; 110
568;0101
569;11 01
